country,continent,capital
Cyprus,Europe,Nicosia
Eritrea,Africa,Asmara
Liberia,Africa,Monrovia
Bermuda,Americas,Hamilton
Vatican City,Europe,Vatican City
Cook Islands,Oceania,Avarua
Somalia,Africa,Mogadishu
Zambia,Africa,Lusaka
Venezuela,Americas,Caracas
Turkmenistan,Asia,Ashgabat
Albania,Europe,Tirana
Croatia,Europe,Zagreb
United Kingdom,Europe,London
Sudan,Africa,Khartoum
Timor-Leste,Asia,Dili
Republic of the Congo,Africa,Brazzaville
Azerbaijan,Asia,Baku
Kenya,Africa,Nairobi
American Samoa,Oceania,Pago Pago
Ivory Coast,Africa,Yamoussoukro
Senegal,Africa,Dakar
Vietnam,Asia,Hanoi
El Salvador,Americas,San Salvador
Afghanistan,Asia,Kabul
Saint Martin,Americas,Marigot
Latvia,Europe,Riga
Guatemala,Americas,Guatemala City
Kuwait,Asia,Kuwait City
São Tomé and Príncipe,Africa,São Tomé
Kyrgyzstan,Asia,Bishkek
Poland,Europe,Warsaw
Guam,Oceania,Hagåtña
Ghana,Africa,Accra
Lithuania,Europe,Vilnius
Armenia,Asia,Yerevan
Jersey,Europe,Saint Helier
Grenada,Americas,St. George's
Tajikistan,Asia,Dushanbe
Ethiopia,Africa,Addis Ababa
Western Sahara,Africa,El Aaiún
Morocco,Africa,Rabat
Puerto Rico,Americas,San Juan
Christmas Island,Oceania,Flying Fish Cove
New Zealand,Oceania,Wellington
Brunei,Asia,Bandar Seri Begawan
French Guiana,Americas,Cayenne
Niue,Oceania,Alofi
Romania,Europe,Bucharest
Svalbard and Jan Mayen,Europe,Longyearbyen
Belarus,Europe,Minsk
Panama,Americas,Panama City
Cameroon,Africa,Yaoundé
Czechia,Europe,Prague
Saint Barthélemy,Americas,Gustavia
Greece,Europe,Athens
Mali,Africa,Bamako
Martinique,Americas,Fort-de-France
France,Europe,Paris
Pakistan,Asia,Islamabad
Peru,Americas,Lima
Barbados,Americas,Bridgetown
Greenland,Americas,Nuuk
Saint Pierre and Miquelon,Americas,Saint-Pierre
Chad,Africa,N'Djamena
Hungary,Europe,Budapest
Comoros,Africa,Moroni
Bangladesh,Asia,Dhaka
Tokelau,Oceania,Fakaofo
Fiji,Oceania,Suva
China,Asia,Beijing
Colombia,Americas,Bogotá
British Virgin Islands,Americas,Road Town
Algeria,Africa,Algiers
Maldives,Asia,Malé
Malaysia,Asia,Kuala Lumpur
Cayman Islands,Americas,George Town
Spain,Europe,Madrid
Ireland,Europe,Dublin
Estonia,Europe,Tallinn
Paraguay,Americas,Asunción
Uruguay,Americas,Montevideo
South Africa,Africa,"Pretoria', 'Bloemfontein', 'Cape Town"
Saint Lucia,Americas,Castries
Vanuatu,Oceania,Port Vila
Finland,Europe,Helsinki
Sweden,Europe,Stockholm
British Indian Ocean Territory,Africa,Diego Garcia
Lebanon,Asia,Beirut
United States,Americas,"Washington, D.C."
Chile,Americas,Santiago
Norfolk Island,Oceania,Kingston
Montserrat,Americas,Plymouth
Australia,Oceania,Canberra
Belize,Americas,Belmopan
Guyana,Americas,Georgetown
Mongolia,Asia,Ulan Bator
Tuvalu,Oceania,Funafuti
Dominican Republic,Americas,Santo Domingo
Equatorial Guinea,Africa,Malabo
Saint Kitts and Nevis,Americas,Basseterre
Bolivia,Americas,Sucre
